0.589,0,0.37,5.5,19.5,12.4,6.7,1.4,2.7,25.9,13.3,0,0.2,0.2,0.073,-5.8,1.5,-4.3,-0.1,0.519,0,0.519,0.519,0.9,1,0,0,0,0
0.532,0,0.12,15.3,20.8,18.2,3.9,0.2,2,11.2,16.2,0.3,0.2,0.5,0.104,-1.8,-2.2,-4,-0.1,0.506,0,0.506,0.506,0.9,1,0,0,0,0
0.502,0.234,0.231,4.8,9.4,7,14.6,1.7,0.7,14.3,22.9,0.5,0.3,0.8,0.022,-0.7,-1.8,-2.5,-0.2,0.428,0.313,0.463,0.465,0.764,0,0,0,1,0
0.577,0,1.667,0,14.4,6.9,0,0,7.4,27.8,18.4,0,0,0,-0.055,-9.7,-0.6,-10.4,0,0.667,0,0.667,0.667,0.4,1,0,0,0,0
0.529,0.003,0.289,13.4,23.8,18.5,2.6,0.9,1.8,9.5,14.8,3.1,2,5.1,0.102,-1.3,-0.6,-1.9,0.1,0.523,0,0.524,0.523,0.508,1,0,0,0,0
0.522,0.325,0.21,8.8,10.8,9.9,8.9,2.4,1.2,9.7,23.6,1.7,1.7,3.3,0.112,1.8,-0.4,1.4,1.2,0.437,0.32,0.494,0.489,0.772,0,0,0,1,0
0.534,0.005,0.432,8.9,17,13,5.8,0.5,0.9,15.7,14.3,1.1,0.6,1.7,0.046,-2.8,-1,-3.8,-0.8,0.48,0,0.482,0.48,0.721,0,1,0,0,0
0.435,0.067,0.356,5.9,8.4,7.2,6.3,2.5,1.5,15.8,18,-0.8,0.8,0,-0.001,-4.8,0.5,-4.3,-0.4,0.371,0.308,0.376,0.381,0.681,0,0,0,1,0
0.541,0.044,0.337,4.1,9.6,6.8,32.2,2.2,0.2,17.6,19.5,4.1,2.9,7,0.119,1.2,-0.2,1,2.2,0.477,0.154,0.492,0.48,0.838,0,0,0,0,1
0.526,0.069,0.423,7.1,19.3,13.3,19.3,2.2,2.1,15.6,27.5,2.6,4.2,6.7,0.103,0.4,1.6,2,3.2,0.442,0.258,0.456,0.451,0.82,0,1,0,0,0
0.519,0.055,0.473,7.2,6.2,6.7,12.6,1.3,0.2,12.6,27.8,1.4,0.8,2.1,0.07,0,-3,-3,-0.4,0.434,0.225,0.447,0.441,0.786,0,0,0,1,0
0.428,0.035,0.219,3.9,9.1,6.6,23.1,2.4,0.3,20.4,17.8,-1.1,0.4,-0.7,-0.037,-3.7,-1.1,-4.9,-0.6,0.375,0.1,0.385,0.377,0.841,0,0,0,0,1
0.62,0.61,0.119,1.6,5,3.3,7,1.1,0.6,10.1,23.3,0.2,0.1,0.3,0.119,2.5,-3.7,-1.2,0,0.458,0.472,0.435,0.602,0.857,0,0,0,1,0
0.493,0.59,0.101,0.9,6.6,3.8,21,1.7,0.1,20.5,13,0.2,0.8,1,0.04,-1.4,-1.4,-2.9,-0.3,0.377,0.335,0.436,0.476,0.778,0,0,0,0,1
0.548,0.188,0.414,5.9,9.5,7.7,5.8,2.7,0.8,13,16.7,0.6,0.6,1.2,0.086,-1.3,0.3,-1,0.2,0.468,0.371,0.49,0.503,0.701,0,0,1,0,0
0.466,0.327,0.163,0.8,5.7,3.3,5.7,1.2,0.5,10.3,18.7,0,0.1,0.1,0.04,-3.7,-2.4,-6.1,-0.1,0.408,0.25,0.485,0.449,0.625,0,0,0,0,1
0.506,0.236,0.267,3.6,13.5,8.5,14.5,2.1,0.7,15.1,16,0.8,2.6,3.4,0.085,-1.1,1.5,0.4,1.2,0.46,0.256,0.523,0.49,0.562,0,0,0,1,0
0.539,0.319,0.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,0.2,1.3,1.5,0.053,-3.1,-0.9,-4,-0.7,0.454,0.341,0.507,0.508,0.685,0,0,1,0,0
0.405,0,0.806,10.1,16.4,13.4,2.9,0.4,0.8,19.2,8.8,-0.1,0.1,0.1,0.01,-3.9,-0.3,-4.2,-0.1,0.387,0,0.387,0.387,0.4,1,0,0,0,0
0.437,0.221,0.092,3,14.5,8.7,8.7,1.6,0.3,6.4,19.4,-0.8,1.6,0.8,0.03,-4,-1,-5,-1,0.382,0.315,0.402,0.417,0.822,0,0,1,0,0
0.485,0.009,0.154,7.8,15.6,11.6,5.7,2.2,1.5,7.3,17.2,1.1,2.4,3.5,0.084,-2.1,1.1,-0.9,0.5,0.468,0,0.472,0.468,0.65,0,1,0,0,0
0.492,0.206,0.17,1.9,9.1,5.5,13.2,1.5,0.9,10.4,23.9,0.4,1.6,2.1,0.05,-1.3,-1.5,-2.8,-0.4,0.436,0.285,0.475,0.465,0.757,0,0,0,1,0
0.561,0,0.471,10.4,15.6,12.9,3.9,1.1,7.9,13.9,15.5,3.4,3.4,6.7,0.132,-1.2,3.4,2.2,2.6,0.513,0,0.513,0.513,0.701,1,0,0,0,0
0.458,0.309,0.477,11.5,35.9,23.3,11.8,1.1,1.1,9.8,28.9,0.1,0.9,1.1,0.084,-0.8,-0.3,-1.1,0.1,0.352,0.217,0.413,0.386,0.704,0,1,0,0,0
0.528,0,0.273,1.7,11.1,6.5,14.8,3.1,0,10.9,18.5,0.1,0.1,0.2,0.126,-1.9,-0.2,-2.1,0,0.5,0,0.5,0.5,0.667,1,0,0,0,0
0.549,0.542,0.191,1.5,8.9,5.3,15.9,2.2,0.3,14.1,17.8,0.8,0.4,1.2,0.083,1.5,-1.1,0.4,0.4,0.44,0.328,0.573,0.529,0.698,0,0,0,1,0
